Year,YearMonth,Segment,Ship Mode,Product ID,Product Name,Sales,Sales_EastWest,Sales_CentralSouth
2017,201703,Consumer,Standard Class,OFF-AR-10003338,"Eberhard Faber 3 1/2"" Golf Pencils",14.88,14.88,0
2020,202011,Corporate,Standard Class,OFF-PA-10003129,Tops White Computer Printout Paper,244.55,244.55,0
2017,201707,Corporate,First Class,TEC-AC-10000023,"Maxell 74 Minute CD-R Spindle, 50/Pack",41.94,41.94,0
2017,201701,Consumer,Standard Class,OFF-AR-10004078,Newell 312,9.344,0,9.344
2018,201805,Home Office,Second Class,TEC-PH-10004447,Toshiba IPT2010-SD IP Telephone,222.384,0,222.384
2018,201807,Consumer,Standard Class,OFF-BI-10002854,"Performers Binder/Pad Holder, Black",84.09,84.09,0
2020,202011,Home Office,Standard Class,TEC-AC-10002567,Logitech G602 Wireless Gaming Mouse,191.976,0,191.976
2017,201703,Home Office,First Class,TEC-MA-10003626,Hewlett-Packard Deskjet 6540 Color Inkjet Printer,574.91,0,574.91
2019,201906,Corporate,Standard Class,OFF-PA-10000246,Riverleaf Stik-Withit Designer Note Cubes,30.18,30.18,0
2017,201704,Consumer,Standard Class,OFF-BI-10004817,GBC Personal VeloBind Strips,9.584,9.584,0
2018,201807,Home Office,Standard Class,TEC-AC-10003289,Anker Ultra-Slim Mini Bluetooth 3.0 Wireless Keyboard,279.86,0,279.86
2020,202012,Corporate,Standard Class,OFF-PA-10004156,Xerox 188,34.02,34.02,0
2018,201804,Home Office,Standard Class,FUR-FU-10001468,Tenex Antistatic Computer Chair Mats,547.136,547.136,0
2019,201905,Consumer,First Class,OFF-BI-10000848,Angle-D Ring Binders,3.282,0,3.282
2020,202005,Corporate,Standard Class,FUR-CH-10002017,SAFCO Optional Arm Kit for Workspace Cribbage Stacking Chair,26.64,0,26.64
2018,201805,Corporate,Standard Class,OFF-ST-10002583,Fellowes Neat Ideas Storage Cubes,51.968,51.968,0
2018,201809,Home Office,Standard Class,OFF-BI-10003274,"Avery Durable Slant Ring Binders, No Labels",6.368,6.368,0
2018,201810,Consumer,Second Class,TEC-PH-10001835,Jawbone JAMBOX Wireless Bluetooth Speaker,631.96,631.96,0
2020,202003,Corporate,Standard Class,FUR-BO-10002824,Bush Mission Pointe Library,205.3328,0,205.3328
2017,201711,Corporate,Standard Class,OFF-AP-10004336,"Conquest 14 Commercial Heavy-Duty Upright Vacuum, Collection System, Accessory Kit",34.176,0,34.176
2018,201812,Home Office,Standard Class,OFF-PA-10001526,Xerox 1949,9.96,9.96,0
2020,202005,Corporate,Standard Class,OFF-BI-10003684,Wilson Jones Legal Size Ring Binders,26.388,26.388,0
2020,202009,Corporate,Standard Class,OFF-AP-10001271,Eureka The Boss Cordless Rechargeable Stick Vac,81.568,0,81.568
2020,202012,Consumer,Standard Class,FUR-CH-10002602,DMI Arturo Collection Mission-style Design Wood Chair,588.822,271.764,317.058
2020,202012,Consumer,Standard Class,OFF-BI-10003650,GBC DocuBind 300 Electric Binding Machine,631.176,631.176,0
2020,202012,Consumer,Standard Class,OFF-AP-10003590,Hoover WindTunnel Plus Canister Vacuum,1089.75,0,1089.75
2019,201908,Home Office,Standard Class,TEC-AC-10003433,Maxell 4.7GB DVD+R 5/Pack,1.98,0,1.98
2017,201701,Consumer,Standard Class,FUR-BO-10003034,"O'Sullivan Elevations Bookcase, Cherry Finish",333.999,333.999,0
2020,202012,Home Office,Standard Class,FUR-TA-10003473,Bretford Rectangular Conference Table Tops,526.582,526.582,0
2017,201701,Home Office,Standard Class,FUR-FU-10001847,Eldon Image Series Black Desk Accessories,12.42,0,12.42
2019,201907,Consumer,Standard Class,OFF-AR-10004602,Boston KS Multi-Size Manual Pencil Sharpener,45.98,45.98,0
2018,201809,Consumer,Standard Class,OFF-AR-10004930,Turquoise Lead Holder with Pocket Clip,6.7,6.7,0
2018,201812,Corporate,Standard Class,TEC-PH-10004667,Cisco 8x8 Inc. 6753i IP Business Phone System,134.99,134.99,0
2020,202003,Corporate,Standard Class,OFF-EN-10003072,Peel & Seel Envelopes,19.4,19.4,0
2020,202010,Home Office,First Class,OFF-SU-10002573,"Acme 10"" Easy Grip Assistive Scissors",35.06,0,35.06
2019,201903,Corporate,First Class,OFF-BI-10003529,Avery Round Ring Poly Binders,4.544,4.544,0
2018,201812,Consumer,Standard Class,FUR-FU-10004351,Staple-based wall hangings,29.22,29.22,0
2017,201701,Consumer,Standard Class,OFF-BI-10004364,Storex Dura Pro Binders,29.7,0,29.7
2017,201710,Corporate,Standard Class,OFF-BI-10004140,Avery Non-Stick Binders,0.898,0,0.898
2019,201912,Consumer,Standard Class,OFF-AP-10002082,Holmes HEPA Air Purifier,65.34,65.34,0
2020,202012,Consumer,Same Day,OFF-AR-10002987,Prismacolor Color Pencil Set,95.232,0,95.232
2018,201811,Consumer,Second Class,FUR-CH-10000422,Global Highback Leather Tilter in Burgundy,327.564,327.564,0
2017,201709,Consumer,Standard Class,OFF-EN-10003072,Peel & Seel Envelopes,21.728,21.728,0
2017,201712,Consumer,Second Class,TEC-AC-10001314,Case Logic 2.4GHz Wireless Keyboard,99.98,0,99.98
2018,201806,Corporate,Standard Class,OFF-BI-10001249,Avery Heavy-Duty EZD View Binder with Locking Rings,19.14,0,19.14
2017,201709,Consumer,Standard Class,TEC-AC-10001109,Logitech Trackman Marble Mouse,47.984,0,47.984
2019,201911,Consumer,First Class,OFF-ST-10000352,Acco Perma 2700 Stacking Storage Drawers,29.74,29.74,0
2019,201903,Consumer,Standard Class,FUR-CH-10003817,"Global Value Steno Chair, Gray",327.996,327.996,0
2020,202011,Corporate,Second Class,OFF-BI-10000088,GBC Imprintable Covers,26.352,26.352,0
2018,201805,Consumer,Second Class,OFF-BI-10001249,Avery Heavy-Duty EZD View Binder with Locking Rings,7.656,0,7.656
2017,201710,Consumer,First Class,OFF-AP-10004708,Fellowes Superior 10 Outlet Split Surge Protector,121.792,121.792,0
2019,201904,Home Office,Standard Class,FUR-FU-10004973,Flat Face Poster Frame,22.608,0,22.608
2020,202005,Consumer,First Class,OFF-AR-10003179,Dixon Ticonderoga Core-Lock Colored Pencils,54.66,0,54.66
2017,201712,Consumer,Second Class,FUR-FU-10002759,12-1/2 Diameter Round Wall Clock,23.976,0,23.976
2020,202009,Consumer,First Class,FUR-CH-10002372,Office Star - Ergonomically Designed Knee Chair,113.372,113.372,0
2020,202004,Consumer,Second Class,OFF-BI-10002103,"Cardinal Slant-D Ring Binder, Heavy Gauge Vinyl",13.904,13.904,0
2017,201706,Consumer,Standard Class,OFF-BI-10003876,"Green Canvas Binder for 8-1/2"" x 14"" Sheets",68.48,68.48,0
2019,201910,Consumer,First Class,OFF-AR-10002053,"Premium Writing Pencils, Soft, #2 by Central Association for the Blind",7.152,7.152,0
2020,202006,Corporate,First Class,OFF-ST-10001496,Standard Rollaway File with Lock,720.76,0,720.76
2020,202003,Consumer,Same Day,OFF-PA-10002377,Xerox 1916,274.064,0,274.064
2019,201911,Home Office,Standard Class,OFF-AP-10002765,Fellowes Advanced Computer Series Surge Protectors,42.384,0,42.384
2017,201709,Corporate,Second Class,OFF-PA-10000174,"Message Book, Wirebound, Four 5 1/2"" X 4"" Forms/Pg., 200 Dupl. Sets/Book",20.56,20.56,0
2020,202007,Corporate,Standard Class,OFF-BI-10003708,"Acco Four Pocket Poly Ring Binder with Label Holder, Smoke, 1""",29.8,29.8,0
2018,201808,Home Office,First Class,OFF-PA-10000157,Xerox 191,59.94,59.94,0
2019,201906,Consumer,Standard Class,OFF-SU-10000157,Compact Automatic Electric Letter Opener,835.17,835.17,0
2019,201903,Corporate,Second Class,OFF-PA-10004996,"Speediset Carbonless Redi-Letter 7"" x 8 1/2""",41.24,41.24,0
2019,201912,Corporate,Standard Class,OFF-BI-10002735,GBC Prestige Therm-A-Bind Covers,171.55,0,171.55
2017,201712,Corporate,Standard Class,OFF-PA-10000528,Xerox 1981,21.12,21.12,0
2018,201803,Corporate,First Class,OFF-AR-10002399,"Dixon Prang Watercolor Pencils, 10-Color Set with Brush",3.408,3.408,0
2020,202006,Consumer,Standard Class,OFF-AP-10003622,"Bravo II Megaboss 12-Amp Hard Body Upright, Replacement Belts, 2 Belts per Pack",5.2,0,5.2
2020,202009,Home Office,Second Class,OFF-BI-10004330,"GBC Velobind Prepunched Cover Sets, Regency Series",147.92,147.92,0
2017,201709,Corporate,Standard Class,FUR-FU-10000758,DAX Natural Wood-Tone Poster Frame,42.368,42.368,0
2019,201911,Consumer,Standard Class,OFF-BI-10004364,Storex Dura Pro Binders,3.564,0,3.564
2018,201809,Consumer,Same Day,OFF-ST-10002486,Eldon Shelf Savers Cubes and Bins,13.96,13.96,0
2020,202008,Consumer,Standard Class,TEC-AC-10004803,Sony Micro Vault Click 4 GB USB 2.0 Flash Drive,55.76,55.76,0
2020,202004,Consumer,First Class,OFF-AR-10000390,Newell Chalk Holder,12.39,12.39,0
2019,201912,Corporate,Standard Class,FUR-CH-10003746,Hon 4070 Series Pagoda Round Back Stacking Chairs,866.646,866.646,0
2019,201903,Corporate,Standard Class,OFF-BI-10000962,"Acco Flexible ACCOHIDE Square Ring Data Binder, Dark Blue, 11 1/2"" X 14"" 7/8""",32.54,0,32.54
2020,202010,Corporate,Standard Class,OFF-EN-10001137,"#10 Gummed Flap White Envelopes, 100/Box",9.912,0,9.912
2020,202002,Corporate,First Class,OFF-FA-10002780,Staples,21.456,21.456,0
2019,201912,Corporate,Second Class,OFF-LA-10004853,Avery 483,11.952,0,11.952
2019,201906,Consumer,First Class,OFF-ST-10003306,Letter Size Cart,714.3,714.3,0
2020,202009,Consumer,Second Class,OFF-FA-10000992,"Acco Clips to Go Binder Clips, 24 Clips in Two Sizes",14.2,0,14.2
2020,202001,Home Office,Standard Class,TEC-PH-10000169,ARKON Windshield Dashboard Air Vent Car Mount Holder,67.8,0,67.8
2017,201703,Consumer,First Class,OFF-AR-10001427,Newell 330,17.94,17.94,0
2019,201906,Home Office,Standard Class,OFF-BI-10004826,JM Magazine Binder,29.718,29.718,0
2020,202009,Corporate,Second Class,OFF-PA-10000062,Green Bar Computer Printout Paper,164.88,164.88,0
2019,201901,Consumer,First Class,OFF-LA-10004689,Avery 512,26.01,26.01,0
2020,202001,Corporate,Second Class,OFF-AR-10004010,Hunt Boston Vacuum Mount KS Pencil Sharpener,209.94,0,209.94
2017,201711,Home Office,Standard Class,OFF-ST-10002974,"Trav-L-File Heavy-Duty Shuttle II, Black",43.57,43.57,0
2017,201710,Consumer,Second Class,FUR-CH-10002320,Hon Pagoda Stacking Chairs,1604.9,1604.9,0
2020,202004,Corporate,First Class,OFF-ST-10000142,Deluxe Rollaway Locking File with Drawer,332.704,332.704,0
2020,202005,Consumer,Same Day,TEC-PH-10004977,GE 30524EE4,627.168,0,627.168
2020,202009,Consumer,Standard Class,OFF-PA-10002713,"Adams Phone Message Book, 200 Message Capacity, 8 1/16” x 11”",13.76,13.76,0
2019,201905,Home Office,Second Class,OFF-AP-10001205,Belkin 5 Outlet SurgeMaster Power Centers,54.48,0,54.48
2020,202010,Corporate,Standard Class,FUR-FU-10004712,"Westinghouse Mesh Shade Clip-On Gooseneck Lamp, Black",56.56,56.56,0
2019,201909,Consumer,Second Class,OFF-PA-10002195,"RSVP Cards & Envelopes, Blank White, 8-1/2"" X 11"", 24 Cards/25 Envelopes/Set",12.192,0,12.192
2020,202007,Consumer,Standard Class,FUR-FU-10003708,"Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36"" x 48""",545.85,545.85,0
2017,201712,Corporate,Standard Class,OFF-PA-10002923,Xerox 1942,146.82,146.82,0
2020,202012,Consumer,Standard Class,TEC-AC-10001539,Logitech G430 Surround Sound Gaming Headset with Dolby 7.1 Technology,399.95,0,399.95
2020,202008,Home Office,Standard Class,TEC-AC-10004510,Logitech Desktop MK120 Mouse and keyboard Combo,98.16,0,98.16
2018,201811,Corporate,Second Class,OFF-LA-10003121,Avery 506,16.52,16.52,0
2020,202009,Consumer,Second Class,FUR-FU-10004864,Eldon 500 Class Desk Accessories,12.07,12.07,0
2017,201711,Corporate,Standard Class,TEC-AC-10003709,Maxell 4.7GB DVD-R 5/Pack,5.544,0,5.544
2017,201712,Corporate,Standard Class,FUR-FU-10001546,Dana Swing-Arm Lamps,8.544,0,8.544
2019,201907,Consumer,Standard Class,OFF-ST-10000689,"Fellowes Strictly Business Drawer File, Letter/Legal Size",338.04,0,338.04
2018,201811,Consumer,Standard Class,FUR-TA-10002958,"Bevis Oval Conference Table, Walnut",1252.704,1252.704,0
2020,202012,Consumer,First Class,OFF-AR-10003811,Newell 327,6.63,6.63,0
2020,202010,Consumer,Same Day,OFF-PA-10000380,"REDIFORM Incoming/Outgoing Call Register, 11"" X 8 1/2"", 100 Messages",6.672,0,6.672
2020,202012,Consumer,First Class,TEC-AC-10003832,Imation 16GB Mini TravelDrive USB 2.0 Flash Drive,99.39,0,99.39
2019,201905,Corporate,Standard Class,FUR-FU-10002396,"DAX Copper Panel Document Frame, 5 x 7 Size",30.192,0,30.192
2019,201909,Corporate,Standard Class,FUR-FU-10004952,"C-Line Cubicle Keepers Polyproplyene Holder w/Velcro Back, 8-1/2x11, 25/Bx",109.48,109.48,0
2019,201906,Consumer,First Class,OFF-BI-10002082,GBC Twin Loop Wire Binding Elements,39.936,0,39.936
2019,201906,Corporate,Standard Class,TEC-AC-10004877,Imation 30456 USB Flash Drive 8GB,6.9,0,6.9
2019,201912,Consumer,Standard Class,OFF-BI-10000545,GBC Ibimaster 500 Manual ProClick Binding System,9892.74,0,9892.74
2019,201908,Consumer,First Class,TEC-PH-10003645,Aastra 57i VoIP phone,290.898,290.898,0
2020,202011,Consumer,Standard Class,OFF-ST-10002974,"Trav-L-File Heavy-Duty Shuttle II, Black",243.992,243.992,0
2020,202005,Corporate,Standard Class,OFF-BI-10002571,"Avery Framed View Binder, EZD Ring (Locking), Navy, 1 1/2""",1.996,0,1.996
2020,202004,Home Office,First Class,OFF-AR-10004078,Newell 312,42.048,0,42.048
2017,201704,Consumer,Second Class,FUR-TA-10004442,Riverside Furniture Stanwyck Manor Table Series,401.59,0,401.59
2019,201909,Corporate,First Class,TEC-PH-10003988,"LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite",43.6,43.6,0
2018,201802,Consumer,Standard Class,TEC-PH-10003931,JBL Micro Wireless Portable Bluetooth Speaker,107.982,107.982,0
2017,201712,Corporate,Standard Class,OFF-EN-10004773,Staple envelope,49.568,0,49.568
2017,201705,Consumer,Second Class,OFF-PA-10001560,"Adams Telephone Message Books, 5 1/4” x 11”",4.832,0,4.832
2018,201811,Consumer,Standard Class,FUR-CH-10004287,SAFCO Arco Folding Chair,883.84,883.84,0
2020,202003,Consumer,Standard Class,OFF-BI-10003910,DXL Angle-View Binders with Locking Rings by Samsill,30.84,30.84,0
2018,201811,Consumer,Second Class,OFF-SU-10002537,Acme Box Cutter Scissors,40.92,0,40.92
2018,201809,Consumer,Standard Class,OFF-AR-10004648,Boston 19500 Mighty Mite Electric Pencil Sharpener,181.35,181.35,0
2019,201910,Home Office,Standard Class,FUR-FU-10000246,Aluminum Document Frame,61.1,0,61.1
2019,201912,Consumer,Standard Class,TEC-AC-10001465,SanDisk Cruzer 64 GB USB Flash Drive,72.64,72.64,0
2019,201907,Home Office,Same Day,TEC-AC-10001635,KeyTronic KT400U2 - Keyboard - Black,30.84,30.84,0
2017,201703,Corporate,Standard Class,OFF-PA-10000675,Xerox 1919,122.97,0,122.97
2019,201905,Consumer,Standard Class,FUR-CH-10004860,Global Low Back Tilter Chair,484.704,484.704,0
2019,201912,Consumer,Same Day,OFF-PA-10000241,"IBM Multi-Purpose Copy Paper, 8 1/2 x 11"", Case",30.98,30.98,0
2020,202006,Consumer,Standard Class,FUR-BO-10002824,Bush Mission Pointe Library,241.568,0,241.568
2017,201710,Consumer,Second Class,TEC-PH-10000526,Vtech CS6719,383.96,383.96,0
2018,201805,Corporate,Standard Class,FUR-CH-10004495,"Global Leather and Oak Executive Chair, Black",722.352,722.352,0
2018,201809,Consumer,Standard Class,OFF-BI-10000050,"Angle-D Binders with Locking Rings, Label Holders",14.6,0,14.6
2019,201904,Consumer,Standard Class,OFF-ST-10000991,Space Solutions HD Industrial Steel Shelving.,459.88,459.88,0
2019,201909,Consumer,Second Class,FUR-FU-10002364,"Eldon Expressions Wood Desk Accessories, Oak",14.76,14.76,0
2017,201711,Corporate,Standard Class,OFF-ST-10001511,Space Solutions Commercial Steel Shelving,193.95,0,193.95
2018,201811,Corporate,Standard Class,OFF-EN-10001539,Staple envelope,62.24,62.24,0
2020,202012,Consumer,Standard Class,TEC-PH-10004522,Dexim XPower Skin Super-Thin Power Case for iPhone 5 - Black,116.98,116.98,0
2019,201905,Corporate,Same Day,TEC-AC-10003832,Imation 16GB Mini TravelDrive USB 2.0 Flash Drive,185.528,185.528,0
2019,201902,Consumer,Standard Class,TEC-PH-10002398,AT&T 1070 Corded Phone,445.96,445.96,0
2020,202006,Corporate,Standard Class,OFF-PA-10000327,Xerox 1971,10.272,0,10.272
2019,201912,Consumer,Standard Class,OFF-BI-10001718,GBC DocuBind P50 Personal Binding Machine,153.552,153.552,0
2020,202004,Corporate,First Class,OFF-SU-10000157,Compact Automatic Electric Letter Opener,477.24,0,477.24
2018,201811,Home Office,Second Class,OFF-PA-10000743,Xerox 1977,40.08,40.08,0
2018,201809,Consumer,Second Class,TEC-PH-10003012,Nortel Meridian M3904 Professional Digital phone,307.98,307.98,0
2019,201905,Consumer,Standard Class,OFF-PA-10000029,Xerox 224,10.368,10.368,0
2017,201712,Consumer,Standard Class,OFF-BI-10001132,"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 9 1/2"" X 11""",6.456,6.456,0
2018,201808,Consumer,Standard Class,FUR-FU-10004270,"Executive Impressions 13"" Clairmont Wall Clock",46.152,0,46.152
2020,202009,Consumer,Standard Class,OFF-FA-10000304,Advantus Push Pins,4.36,4.36,0
2018,201807,Corporate,Standard Class,OFF-SU-10002573,"Acme 10"" Easy Grip Assistive Scissors",52.59,0,52.59
2018,201812,Consumer,Standard Class,FUR-TA-10000849,Bevis Rectangular Conference Tables,364.95,364.95,0
2020,202004,Consumer,First Class,FUR-FU-10004622,Eldon Advantage Foldable Chair Mats for Low Pile Carpets,162.6,162.6,0
2019,201906,Corporate,Standard Class,OFF-BI-10003784,Computer Printout Index Tabs,1.344,0,1.344
2017,201711,Corporate,Standard Class,OFF-AP-10002734,Holmes Harmony HEPA Air Purifier for 17 x 20 Room,675.12,0,675.12
2018,201807,Home Office,Standard Class,FUR-CH-10004853,"Global Manager's Adjustable Task Chair, Storm",150.98,150.98,0
2017,201707,Home Office,Same Day,FUR-CH-10002372,Office Star - Ergonomically Designed Knee Chair,259.136,259.136,0
2018,201809,Consumer,Same Day,OFF-AR-10003504,Newell 347,17.12,17.12,0
2017,201712,Consumer,Standard Class,FUR-CH-10004886,Bevis Steel Folding Chairs,230.28,230.28,0
2019,201911,Corporate,Second Class,OFF-PA-10003845,Xerox 1987,40.46,0,40.46
2019,201909,Corporate,Standard Class,OFF-FA-10002975,Staples,11.34,0,11.34
2020,202004,Consumer,Standard Class,TEC-PH-10004345,Cisco SPA 502G IP Phone,383.84,0,383.84
2018,201810,Home Office,Second Class,TEC-PH-10002496,Cisco SPA301,311.98,311.98,0
2017,201710,Corporate,Standard Class,OFF-BI-10002764,Recycled Pressboard Report Cover with Reinforced Top Hinge,7.752,7.752,0
2019,201910,Consumer,Second Class,OFF-AR-10004441,BIC Brite Liner Highlighters,12.42,12.42,0
2017,201702,Corporate,First Class,TEC-PH-10003645,Aastra 57i VoIP phone,161.61,0,161.61
2020,202012,Consumer,Second Class,OFF-AP-10003217,Eureka Sanitaire  Commercial Upright,66.284,0,66.284
2020,202008,Corporate,First Class,OFF-LA-10004544,Avery 505,47.36,0,47.36
2018,201805,Corporate,First Class,OFF-PA-10002160,Xerox 1978,32.368,0,32.368
2019,201903,Home Office,Standard Class,OFF-AP-10004540,"Eureka The Boss Lite 10-Amp Upright Vacuum, Blue",160.32,0,160.32
2018,201811,Consumer,Standard Class,FUR-TA-10000617,"Hon Practical Foundations 30 x 60 Training Table, Light Gray/Charcoal",375.4575,0,375.4575
2019,201910,Home Office,First Class,TEC-MA-10001695,Zebra GK420t Direct Thermal/Thermal Transfer Printer,703.71,703.71,0
2020,202011,Home Office,Standard Class,OFF-ST-10003442,Eldon Portable Mobile Manager,56.56,56.56,0
2020,202010,Corporate,Standard Class,TEC-PH-10003095,Samsung HM1900 Bluetooth Headset,87.8,87.8,0
2018,201811,Home Office,Standard Class,OFF-FA-10000490,"OIC Binder Clips, Mini, 1/4"" Capacity, Black",2.48,2.48,0
2020,202001,Corporate,First Class,OFF-BI-10003694,"Avery 3 1/2"" Diskette Storage Pages, 10/Pack",15.66,0,15.66
2017,201712,Consumer,Second Class,OFF-AR-10001725,Boston Home & Office Model 2000 Electric Pencil Sharpeners,47.3,47.3,0
2019,201910,Consumer,Standard Class,OFF-AR-10001149,"Sanford Colorific Colored Pencils, 12/Box",11.52,11.52,0
2020,202007,Consumer,Standard Class,TEC-PH-10002660,Nortel Networks T7316 E Nt8 B27,815.88,543.92,271.96
2019,201911,Consumer,Standard Class,OFF-ST-10002583,Fellowes Neat Ideas Storage Cubes,64.96,64.96,0
2020,202011,Corporate,Standard Class,OFF-AR-10003394,Newell 332,11.76,11.76,0
2019,201911,Corporate,Second Class,OFF-PA-10000176,Xerox 1887,15.176,15.176,0
2018,201812,Consumer,Second Class,OFF-LA-10001771,Avery 513,9.96,9.96,0
2019,201912,Consumer,Standard Class,TEC-PH-10000169,ARKON Windshield Dashboard Air Vent Car Mount Holder,40.68,0,40.68
2017,201703,Consumer,Standard Class,OFF-AP-10002765,Fellowes Advanced Computer Series Surge Protectors,52.98,52.98,0
2018,201811,Consumer,Second Class,OFF-SU-10002189,Acme Rosewood Handle Letter Opener,15.88,15.88,0
2018,201806,Consumer,Standard Class,OFF-FA-10003059,Assorted Color Push Pins,5.43,5.43,0
2020,202004,Home Office,Standard Class,OFF-AR-10003156,50 Colored Long Pencils,16.256,0,16.256
2017,201712,Home Office,Standard Class,FUR-CH-10004477,"Global Push Button Manager's Chair, Indigo",767.214,767.214,0
2017,201711,Consumer,Standard Class,OFF-PA-10003724,"Wirebound Message Book, 4 per Page",21.72,0,21.72
2019,201905,Corporate,Standard Class,OFF-BI-10000343,"Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Light Blue",1.964,0,1.964
2020,202005,Home Office,Standard Class,OFF-AR-10003481,Newell 348,5.248,0,5.248
2020,202007,Consumer,First Class,TEC-AC-10002018,AmazonBasics 3-Button USB Wired Mouse,16.776,16.776,0
2019,201906,Consumer,Standard Class,OFF-AR-10000122,Newell 314,11.16,11.16,0
2020,202012,Corporate,Second Class,FUR-CH-10003817,"Global Value Steno Chair, Gray",97.184,97.184,0
2018,201810,Consumer,Same Day,OFF-ST-10003638,Mobile Personal File Cube,46.84,46.84,0
2019,201912,Corporate,Second Class,OFF-AP-10002684,"Acco 7-Outlet Masterpiece Power Center, Wihtout Fax/Phone Line Protection",194.528,0,194.528
2019,201908,Corporate,First Class,FUR-TA-10004152,"Barricks 18"" x 48"" Non-Folding Utility Table with Bottom Storage Shelf",161.28,161.28,0
2017,201709,Consumer,Standard Class,FUR-FU-10002456,"Master Caster Door Stop, Large Neon Orange",14.56,14.56,0
2017,201709,Consumer,Standard Class,TEC-AC-10003628,Logitech 910-002974 M325 Wireless Mouse for Web Scrolling,59.98,59.98,0
2018,201801,Consumer,Second Class,FUR-FU-10003799,"Seth Thomas 13 1/2"" Wall Clock",53.34,0,53.34
2020,202011,Consumer,Second Class,OFF-FA-10003495,Staples,18.24,18.24,0
2018,201811,Home Office,Second Class,FUR-BO-10002916,"Rush Hierlooms Collection 1"" Thick Stackable Bookcases",170.98,170.98,0
2020,202006,Home Office,Standard Class,OFF-BI-10004492,Tuf-Vin Binders,75.792,75.792,0
2017,201710,Corporate,First Class,FUR-BO-10001337,O'Sullivan Living Dimensions 2-Shelf Bookcases,616.998,616.998,0
2020,202009,Consumer,Standard Class,OFF-AR-10000422,Pencil and Crayon Sharpener,6.57,6.57,0
2019,201912,Corporate,Standard Class,FUR-TA-10002607,KI Conference Tables,35.445,35.445,0
2020,202002,Home Office,Standard Class,FUR-FU-10002253,"Howard Miller 13"" Diameter Pewter Finish Round Wall Clock",68.704,68.704,0
